,titles,offers,locations,titles_clean
10,Bravar (m),"Firma Grizelj-Group d.o.o. traži bravara za rad u dinamičnom i rastućem okruženju.
Uvjeti:
SSS tehničkog smjera
Iskustvo u radu sa različitim alatima i strojevima za obradu metala
Vozačka dozvola B kategorije (poželjno)
Odgovornost i preciznost 
Sposobnost samostalnog rada kao i rada u timu 
Nudimo:
Mogućnost profesionalnog napredovanja i razvoja
Rad u stimulativnom i ugodnom radnom okruženju 
Sigurnost radnog mjesta i priliku za napredovanje
Ako ispunjavate navedene uvjete i spremni ste za rad  svoju prijavu pošaljite putem opcije ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 13:13
Oglas ističe: 19.07.2024. u 23:59",Bravar (m)
11,Varioc (m),"Firma Grizelj-Group d.o.o. traži TIG varioca za rad u dinamičnom i rastućem okruženju. 
Uvjeti:
SSS tehničkog smjera 
Iskustvo u radu sa različitim metalima 
Sposobnost samostalnog rada kao i rada u timu 
Vozačka dozvola B kategorije (poželjno) 
Nudimo 
Mogućnost profesionalnog razvoja
Rad u stimulativnom i ugodnom radnom okruženju 
Sigurnost radnog mjesta i priliku za napredovanje 
  Ako ispunjavate navedene uvjete i spremni ste za rad, svoju prijavu pošaljite putem opcije ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 13:00
Oglas ističe: 19.07.2024. u 13:00",Varioc (m)
12,Call Agent (m/w),"United Solutions d.o.o. sucht deutschsprachige Callcenter Agenten für unseren Standort Sarajevo
Was wir bieten:
Fixe Grundvergütung in der Höhe von 1000 EUR mit attraktiven Bonusmöglichkeiten
Volle Anmeldung (Registrierung)
Umfassende Produktschulung im Bereich Gewinnspiele/Lotto
Pünktliche Bezahlung
Ein hochmotiviertes und engagiertes Team
Tolles Office mit modernen Arbeitsplätzen
Arbeitszeiten von Montag-Freitag 09:00-17:00
Aufgaben im Überblick:
Telefonische Neu- und Bestandskundenbetreuung
Anrufe in unserem System dokumentieren
Was wir erwarten:
Gute Deutschkenntnisse (C1 in Wort und Schrift)
Interesse und Freude am Kundenkontakt
Pünktlichkeit und Zuverlässigkeit
Gute PC-Kenntnisse
Erfahrung im CallCenter ist von Vorteil
Werde Teil unseres Teams und bewirb dich jetzt!
Tel: +387 64 406 51 24 (Viber/Whatsapp) Mon-Fri 09:00-17:00, ""Prijavite se na oglas"" option.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 6
Moguć rad od kuće (remote): Ne
Plata od: 1950 KM (netto)
Oglas objavljen: 18.06.2024. u 10:26
Oglas ističe: 03.07.2024. u 23:59",Call Agent (m/w)
13,Diplomirani pravnik (m/ž),"Potrebne kvalifikacije su:
VSS - Pravni fakultet
2 (dvije) godine radnog iskustva
Poznavanje engleskog jezika
Poznavanje rada na računaru (Office paket)
Samostalnost u radu
Razvijene pregovaračke i komunikacijske vještine
Samoincjativnost i odgovoran pristup poslu
Organizacijske vještine  i spremnost na timski rad
Kao pravnik imate sljedeće odgovornosti i zadatke:
Izrada statusne dokumentacije (Odluke,Pravilnici,Procedure i sl.)
Blagovremeno praćenje svih zakonskih i podzakonskih akata Društva
Usklađivanje poslovanja Društva sa važećim zakonskim propisima
Komunikacija sa nadležnim instituacijama
Aktivna saradnja sa eksternim stručnim saradnicima(advokatima,izvršiteljima,notarima i sl.)
Izrada, analiza i kontrola ugovora i drugih obrazaca u Društvu
Pravna podrška svim relevantnim sektorima
Obavljanje i drugih poslova po nalogu neposrednog rukovodioca
Skupštine Društva
Priprema i izrada zapisnika,izvještaja i drugih pisanih dokumenata
Kandidati uz prijavu treba da prilože:
Biografiju 
Motivaciono pismo
Prijaviti se možete i lično ili putem pošte na adresu: HBRD Hoteli Ilidža dd, ulica: Hrasnička cesta br.14 ,71210 Ilidža, (sa naznakom ""ZA KONKURS""), sve dodatne informacije na broj : +38733772011 ili +38761844555 ili putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 10:11
Oglas ističe: 19.07.2024. u 23:59",Diplomirani pravnik
14,Barista (m/ž),"Caribou Coffee predstavlja američki lanac kafeterija koji u svojoj ponudi nudi jedan sasvim novi koncept toplih, hladnih i blendiranih napitaka. S ovim oglasom želimo da ohrabrimo sve zainteresovane kandidate da se prijave i postanu dio Caribou tima.
Od Vas očekujemo:
Ljubaznost, uslužnost i spremnost na učenje,
Da posjedujete brzinu, tačnost i spretnost,
Da ste savjesni i kolegijalni,
Profesionalni odnos i odgovornost,
Iskustvo u radu,
Poznavanje engleskog jezika,
Prijatne karakterne osobine i smisao za rad u timskom okruženju.
Nuimo Vam:
Adekvatna i redovna primanja,
Stalno zaposlenje na punom radnom vremenu,
Dodatne edukacije i usavršavanje.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 09:55
Oglas ističe: 18.07.2024. u 23:59",Barista
15,Prodavač (m/ž),,"Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 10
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 08:19
Oglas ističe: 24.06.2024. u 23:59",Prodavač
16,Konobar (m/ž),"Art kući sevdaha potreban konobar.
Sve informacije  mozete dobiti u Art kuci sevdaha svaki dan od 11-23 sati ili na broj telefona 062 572 757.
Kontakt osoba Narcis Purivatra.","Mjesto rada: Sarajevo
Zaposlenje: Stalni radni odnos
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 17.06.2024. u 11:35
Oglas ističe: 18.07.2024. u 23:59",Konobar
17,Komercijalist (m/ž),"ILK d.o.o traži komercijalistu M/Ž za prodaju na regionu Kantona Sarajevo.
Idealan kandidat je osoba koja je komunikativna, aktivna, uživa u radu sa ljudima, i želi da ostvari dodatne bonuse kroz prodaju!
Kompanija se bavi veleporodajom parfema i parfemskih proizvoda kao i dijela hemije za čišćenje,omekšivači, deterdženti.
Uslovi:
SSS
Poželjno radno iskustvo u prodaji ili kozmetičkoj industriji
Jake prodajne i prezentacijske vještine kroz prodaju i dijeljenje testera
Komunikativnost, pedantnost i odgovornost
Spremnost na rad u smjenama i rad vikendom 
Fokusiranost na cilj
Ljubaznost i posvećenost kupcu
Pedantnost u radu, odgovornost prema poslu i aktivan rad
Skolonost ka timskom radu
Vozačka dozvola B kategorije
Nudimo vam:
Rad u firmi koja je stabilna i koja se konstantno širi i napreduje
Redovna primanja 
Kvartalni bonusi
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 17.06.2024. u 10:39
Oglas ističe: 18.07.2024. u 10:39",Komercijalist
18,Administrator na recepciji (m/ž),"O nama:
Osnovana 2017. godine, kompanija inMotion trenutno zapošljava preko 300 ljudi i neprestano se širi. Naša osnovna djelatnost je koordinacija transporta na američkom tržištu. Trenutno tražimo administratora koji će se pridružiti našem timu.
Lokacija: Sarajevo
Radno vrijeme: Puno radno vrijeme, od 14h do 23h, ponedjeljak - petak
Opis posla:
Dočekivanje zaposlenih i klijenata
Odgovaranje na telefonske pozive i preusmjeravanje poziva
Upravljanje kalendarom i zakazivanje sastanaka
Obrada i distribucija dolazne i odlazne pošte
Priprema i uređivanje različitih dokumenata i prezentacija
Održavanje urednosti recepcije i zajedničkih prostorija
Podrška administrativnim potrebma drugih odjela
Organizacija poslovnih putovanja i smještaja za zaposlene
Praćenje i naručivanje kancelarijskog materijala i opreme
Rješavanje administrativnih zadataka i vođenje evidencija
Kvalifikacije:
Završena srednja škola
Odlično poznavanje engleskog jezika, u govoru i pismu
Nudimo:
Profesionalno i dinamično radno okruženje
Mogućnosti za profesionalni razvoj

Molimo Vas prijave šaljite putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 14.06.2024. u 17:59
Oglas ističe: 15.07.2024. u 17:59",Administrator na recepciji
19,Prodajni savjetnik (m/ž),"O NAMA
Porsche Sarajevo je ovlašteni trgovac za prodaju i servisiranje vozila marki VOLKSWAGEN putnička i privredna vozila, ŠKODA, AUDI, SEAT, CUPRA I PORSCHE. Naša kompanija je posvećena pružanju vrhunske usluge klijentima, istovremeno ispunjavajući sve standarde koje propisuju ove prestižne marke.
Naša posvećenost zadovoljstvu kupaca i stručnost u radu čine nas pouzdanim partnerom u svijetu automobila. Ako ste entuzijastična, energična i otvorena osoba, prijavite se da postanete dio našeg tima.
 
Porsche Inter Auto BH d.o.o. Sarajevo
Bulevar Meše Selimovića 16
PIB:202574310004 JIB: 4202574310004
PRODAJNI SAVJETNIK
Das Welt Auto
Ključni zadaci i odgovornosti:
VSS; VŠS; (ekonomsko ili tehničko usmjerenje)
Srednji konverzacioni nivo engleskog ili njemačkog jezika
Poznavanje rada na računaru – dobro poznavanje osnovnih programa
i korištenje posebnih programa
Posjedovanje vozačke dozvole B kategorije
Kompetencije i vještine:
Posvećenost poslu
Etičnost i integritet
Razvijene prodajne i pregovaračke vještine
Orijentiranost prema kupcu
Identificiranje sa markom
Posjedovanje socijalnih vještina (komunikacija i uspostavljanje kontakta rješavanje konflikta, odgovornost, samopouzdanje)
Aktivno poznavanje rada na računaru (MS – Office)
Kreativnost i inovativnost
Efektivna komunikacija
Timski rad
Postizanje rezultata
Opis poslova:
Sposobnost organizacije zadataka i određivanje prioriteta
Otvorenost za novitete, motivisanost
Stalno prati i usavršava znanje o rabljenim vozilima Volkswagen grupacije
Promoviše modele i aktivno učestvuje u akviziciji novih kupaca
Direktni kontakt sa kupcima na placu rabljenih vozila
Odgovara i komunicira sa kupcima putem web platforme Dasweltauto.ba
Rok za podnošenje prijava na oglas:
 
Oglas je otvoren do 14.07. 2024. godine.  
Nepotpune i neblagovremene prijave neće biti uzete u razmatranje. 
Prijava se dostavlja putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 14.06.2024. u 16:26
Oglas ističe: 14.07.2024. u 23:59",Prodajni savjetnik
20,Accounting Specialist (m/f),"Porsche BH is the general Importer for Volkswagen passenger cars, Volkswagen commercial vehicles, Audi, SEAT, CUPRA, ŠKODA and Porsche. We at Porsche BH d.o.o. Sarajevo are part of Porsche Holding Salzburg, Europe's largest automotive company, operating in 23 countries throughout Europe as well as in some countries across the sea. Porsche Holding Salzburg is a 100% subsidiary of Volkswagen AG, contributing its decades of know-how in the automotive business to Volkswagen Group global sales. We offer a wide range of products and services for the automobiles: from sales of new and used vehicles, servicing of vehicles, etc.
Porsche BH is looking for Accounting professionals eager to progress in their careers and contribute to our collective success. As an Accounting specialist your responsibilities will be Bookkeeping of various business events.
You:
You are a high-energy, detail-oriented person with a passion for accounting and numbers. You’re looking for a role at a growing company where you can learn the ins and outs of the business from the bottom up. You’re great at multi-tasking and a fast-paced office leaves you feeling energized—not drained.
Where:
We are located in Sarajevo.
Responsibilities:
Bookkeeping of incoming and outgoing documentation related with the department work
Handle monthly, quarterly and annual closings
Reconcile accounts payable and receivable
Participation in the preparation of documentation for the preparation of VAT returns, and external inspections
Assisting the Finance Manager
Comply with policies and regulations from the accounting area
Participation in the PHS projects (from accounting area)
Desired Skills & Experience
Bachelor's degree in Accounting or other economic education
3 years professional working experience
experience with working in SAP is an advantage
Strong attention to detail
Strong verbal and written communication skills
Highly motivated with the ability to work independently
Proficient in MS Office
Proficiency in English language, German language is an advantage
We value the organizational and time-management skills as well as the ability to work both independently and as a team member
We offer:
Work in a team of excellent specialists in a successful international company
Opportunities for professional development
Oglas je otvoren do 14.07.2024. godine.  
Nepotpune i neblagovremene prijave neće biti uzete u razmatranje. 
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 14.06.2024. u 16:21
Oglas ističe: 14.07.2024. u 23:59",Accounting Specialist (m/f)
