,titles,offers,closest_green_isco,NACE,location
21,Prodavač (m/ž),"Prodavač (m/ž)
Prodavač m/ž - više izvršitelja
 Nudimo:
Ugovor o radu na određeno vrijeme, nakon 6 mjeseci na neodređeno 
Plaća, topli obrok i ostale naknade po dogovoru(ovisno o sposobnostima)
Uvjeti: 
 Radno iskustvo na istim ili sličnim poslovima poželjno ali nije uvjet 
Spremnost na timski rad 
Ljubaznost i komunikativnost 
Pouzdanost i odgovornost 
Prijave možete poslati putem opcije ""PRIJAVI SE NA OGLAS"" ili putem telefona 063/774-402. 

Lokacija: Mostar (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Mostar
22,Prodavač,"Prodavač
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 10
Datum objave: 17.04.2024.
Trajanje oglasa: 29 dana (ističe 16.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Sarajevo
23,Prodavač,"Prodavač
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 22.04.2024.
Trajanje oglasa: 30 dana (ističe 22.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Sarajevo
24,Prodavač (m/ž),"Prodavač (m/ž)
PRODAVAČ

Više izvršitelja 

Odgovorni ste za:
preuzimanje, sortiranje i slaganje robe, te provjeru stanja i kvalitete artikala,
usluživanje kupaca i pomaganje pri izboru, te prodaji i obračunu robe,
osiguravanje čistoće, urednosti i higijensko-zdravstvene ispravnosti namirnica, uređaja i radnih prostorija.
Od Vas očekujemo:
SSS,
poželjno radno iskustvo u trgovini,
spremnost na dinamičan rad,
izražene komunikacijske vještine,
ljubaznost i uslužnost.
Nudimo Vam:
izazovno i dinamično radno okruženje,
poticajnu i podržavajuću radnu sredinu,
mogućnost kontinuiranog učenja i usavršavanja.
Vašu prijavu možete poslati putem opcije ""PRIJAVI SE NA OGLAS"".
Lokacija: Čitluk, Nevesinje, Sarajevo, Travnik, Višići, Cazin, Brčko, Laktaši, Zenica, Mostar, Donji Vakuf, Čapljina, Banja Luka, Bihać, Tuzla, Kreševo, Kiseljak, Sanski Most, Konjic (Rad iz firme)
Broj izvršilaca: 19
Datum objave: 22.04.2024.
Trajanje oglasa: 30 dana (ističe 22.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Sarajevo
25,Prodavač (m/ž),"Prodavač (m/ž)
PRODAVAČ -  PRODAVNICA KONZUMA U NEUMU (SEZONSKI RAD OD 01.06. – 01.10.2024.)

Više izvršilaca

Opis posla:
preuzimanje, sortiranje i slaganje robe, te provjeru stanja i kvalitete artikala,
usluživanje kupaca i pomaganje pri izboru, te prodaji i obračunu robe,
osiguravanje čistoće, urednosti i higijensko-zdravstvene ispravnosti namirnica, uređaja i radnih prostorija.
Od Vas očekujemo:
SSS
poželjno radno iskustvo u trgovini,
spremnost na dinamičan rad,
izražene komunikacijske vještine,
ljubaznost i uslužnost.
Nudimo Vam:
stimulirajući mjesečni dodatak na platu
plaćen smještaj
plaćen dolazak i odlazak za vrijeme sezone
Čekamo Vas!
Lokacija: Neum (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 05.04.2024.
Trajanje oglasa: 30 dana (ističe 05.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Neum
26,Prodavač (m/ž),"Prodavač (m/ž)
Ako ste komunikativni i marljivi, volite raditi i biti dobro nagrađeni, timski ste igrač,ali znate biti i samostalni, predani ste poslu i želite biti dio tima uspješne firme, javite se na naš oglas.

Prodavač (ž/m)
1 radno mjesto.

Lokacija: Sarajevo

Opis posla
rad sa  kupacima
briga o izgledu prodajnog mjesta
briga o uspješnom poslovanju poslovnice
Zahtjevi
komunikativnost i snalažljivost
spremnost na daljnje učenje
maksimalna angažovanost
praćenje trendova i noviteta u optici
sklonost timskom radu
Stručna sprema
Minimalno srednja stručna sprema – poželjno iskustvo u istim i sličnim poslovima.
Vještine:
Poznavanje engleskog jezika i rada na računaru
Šta nudimo
stalni radni odnos nakon probnog roka
dinamičan rad u modernom prodajnom mjestu
stalno usavršavanje i edukacija
praćenje trendova i noviteta
stimulativna i redovna primanja
stabilno radno vrijeme
Vrsta zaposlenja
Stalni radni odnos
Način prijave
Putem opcije ""PRIJAVI SE NA OGLAS"".
Molimo sve zainteresovane  kandidate da uz prijavu prilože CV .
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 18.04.2024.
Trajanje oglasa: 30 dana (ističe 18.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Sarajevo
27,Prodavač (m/ž),"Prodavač (m/ž)
Ovim putem vas obavještavamo da trenutno imamo otvorenu poziciju

PRODAVAČ

u kompaniji SF1 Clips d.o.o. (PANDORA), u gradovima:
Tuzla i Cazin

Ključne odgovornosti:
kontrola kvaliteta i kvantiteta primljene robe,
vršenje prijema, istovara i raspakivanja robe,
neposredna prodaja, pakovanje i naplata robe,
informisanje kupaca o uslovima prodaje, namjenom i svojstvima robe,
ažurno vođenje raznih evidencija (zaliha, sopstvenog dnevnog učinka u prometu, knjige prometa, knjige reklamacija i slično),
vršenje prijema i kontrole osnovanosti reklamacije kupaca,
praćenje potreba i navika kupaca u cilju poboljšanja prodaje robe,
dosljedno pridržavanje odredbi pravnih akata koji se odnose na prodajni objekat,
organizacija rada u prodavnici, usmjeravanje, kontroliranje, koordiniranje prodajnih i uz prodaju vezanih aktivnosti u skladu s ciljevima i planovima Poslodavca, te odgovornost za rezultate,
unapređenje imidža Poslodavca i proizvoda Poslodavca prema kupcima i potrošačima,
ovjera i odobrenje matičnih podataka kupca, vodeći računa da su svi podaci tačni i pravilni,
ostvarivanje ciljeva prodaje na dnevnoj bazi,
pravilno, tačno i blagovremeno ispostavljanje računa i pravilna i tačna naplata,
na dnevnoj osnovi vodi preciznu evidenciju i odgovoran je za stanje proizvoda i robe Poslodavca u prodavnici u kojoj radi i za robu i proizvode za koje je zadužen, - održavanje reda i rasporeda eksponata, u skladu sa standardima Poslodavca i uputama nadređenog,
održavanje higijene maloprodajnog objekta,
Profil kandidata:
Snažna radna etika s pozitivnim „can-do“ stavom
Visok stupanj sistematičnosti, tačnosti, preciznosti  i odgovornosti
Izražena proaktivnost, posvećenost i samostalnost u radu
Fleksibilnost i prilagodljivost svakodnevnim izazovima
Što nudimo:
Prilika za rad u dinamičnom okruženju s izuzetnim timom ljudi
Profesionalni razvoj i usavršavanje
Mogućnosti stalnog zaposlenja
Ako ste zainteresirani za ovu poziciju prijavite se i pošaljite Vaš CV.

Unaprijed se zahvaljujemo svim kandidatima koji su pokazali interes za rad u našoj kompaniji, ali će biti kontaktirani samo kandidati koji uđu u uži izbor selekcije.
Lokacija: Tuzla, Cazin (Rad iz firme)
Broj izvršilaca: 2
Datum objave: 15.04.2024.
Trajanje oglasa: 30 dana (ističe 15.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Tuzla
28,Prodavač (m/ž),"Prodavač (m/ž)
Tražimo prodavača/icu za rad u galeriji Art atelier Marafor u Poreču.
Izvor: www.moj-posao.net
Lokacija: Poreč (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 28 dana (ističe 25.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Poreč
29,Prodavač (m/ž),"Prodavač (m/ž)
- poslovi prodavač/ice za rad u trgovini s tekstilom i obućom u poreču
Izvor: www.moj-posao.net
Lokacija: Poreč (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 25 dana (ističe 22.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Poreč
30,Prodavač (m/ž),"Prodavač (m/ž)
- prezentacija prodajnih artikala, ciljanih ponuda i promotivnih akcija u cilju prodaje proizvoda kupcima - rad na blagajni, obračun dnevnog utrška, kontrola stanja blagajne - održavanje čistoće u prodajnom prostoru, popunjenosti polica i asortimana - osiguranje točnosti i kompletnosti prodajne dokumentacije (računi, upute, jamstveni listovi) - organizacija i kontrola stanja robe u skladištu - rješavanje reklamacija i briga o zadovoljstvu kupaca - organizacija rada i odgovornost za uredno poslovanje trgovine - planiranje prodaje i praćenje realizacije plana prodaje - unapređivanje kvalitete i kvantitete prodaje te osiguranje visokih prodajnih rezultata Tražimo djelatnike (m/ž) za rad u našoj trgovini u Zagrebu (Arena centar) i Zaprešić-Jablanovec (West gate centar). Molimo u prijavi navesti za koju lokaciju se prijavljujete.
Izvor: www.moj-posao.net
Lokacija: Zagreb, Jablanovec (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 9 dana (ističe 06.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Zagreb
31,Prodavač (m/ž),"Prodavač (m/ž)
- aktivna komunikacija s kupcima i angažman oko prodajnog savjetovanja i prezentacije - rad na blagajni - preuzimanje, deklariranje i izlaganje robe prema unaprijed utvrđenim standardima - briga o ispravnosti cijena i popusta - briga o urednosti trgovine i asortimanu
Izvor: www.moj-posao.net
Lokacija: Zadar, Supetar, Umag, Split (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 9 dana (ističe 06.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Split
32,Prodavač (m/ž),"Prodavač (m/ž)
Trgovina ""Mephiso"" Rijeka, A. Starčevića 3B traži prodavača (m/ž) na puno ili pola radnog vremena (može biti i umirovljenik).
Izvor: www.moj-posao.net
Lokacija: Rijeka (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 9 dana (ističe 06.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Rijeka
33,Prodavač (m/ž),"Prodavač (m/ž)
Tražimo prodavača/icu za rad u maloprodaji - dućanu prehrane na području Pule i Medulina. Glavne djelatnosti: - rad na blagajni - slaganje polica - posluživanje na odjelu delikatesa
Izvor: www.moj-posao.net
Lokacija: Pula, Medulin (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 9 dana (ističe 06.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Pula.
34,Prodavač (m/ž),"Prodavač (m/ž)
- usluživanje kupaca i rad na blagajni - slaganje robe i punjenje polica - održavanje čistoće prodajnog prostora
Izvor: www.moj-posao.net
Lokacija: Vrsi (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 19 dana (ističe 16.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Vrsi
35,Prodavač (m/ž),"Prodavač (m/ž)
Traži se prodavač (m/ž) u Leo Store prodavaonici u Zadru.
Izvor: www.moj-posao.net
Lokacija: Zadar (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 9 dana (ističe 06.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Zadar
36,Prodavač (m/ž),"Prodavač (m/ž)
Tražimo djelatnike (m/ž) za prodaju i posluživanje slastica i napitaka u svim našim slastičarnicama. Zapošljavamo 2 izvršitelja (m/ž). Lokacije rada: - Zvonimirova 7 - Ilica 18 - Kvaternikov trg - V. Richtera 4 - Bundek centar - SR Njemačke 1 C - Dugave - Dankovečka 7
Izvor: www.moj-posao.net
Lokacija: Zagreb (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 9 dana (ističe 05.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Zagreb
37,Prodavač (m/ž),"Prodavač (m/ž)
- posluživanje kupaca i prodaja robe - slaganje robe u skladištu trgovine i prodajnom prostoru - prijem robe, kontrola, postavljanje elektronske zaštite na artikle/robu - rad na blagajni - briga o urednosti i čistoći maloprodajnog prostora i skladišta - visoka razina customer service-a i usluživanja kupaca
Izvor: www.moj-posao.net
Lokacija: Zadar, Zagreb, Split (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 9 dana (ističe 05.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Split
38,Prodavač (m/ž),"Prodavač (m/ž)
Posao prodavača u trgovini prehrambenih proizvoda, supermarket, pekara.
Izvor: www.moj-posao.net
Lokacija: Split (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 6 dana (ističe 02.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Split
39,Prodavač (m/ž),"Prodavač (m/ž)
Posao prodavača u pekari i/ili trgovini prehranom.
Izvor: www.moj-posao.net
Lokacija: Novalja (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 6 dana (ističe 02.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Novalja
40,Prodavač (m/ž),"Prodavač (m/ž)
Prodaja vijčane robe, pomaganje kupcima, ispisivanje cijena.
Izvor: www.moj-posao.net
Lokacija: Zagreb (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 7 dana (ističe 03.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Zagreb
41,Prodavač (m/ž),"Prodavač (m/ž)
U potrazi smo za novim djelatnicima (m/ž) koji će sudjelovati u ostvarenju poslovnih ciljeva i biti važan dio našeg tima na BS Shell Prigorje ili BS Shell Bistra.
Izvor: www.moj-posao.net
Lokacija: Bistra, Prigorje Brdovečko (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 9 dana (ističe 05.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Prigorje Brdovečko
42,Prodavač (m/ž),"Prodavač (m/ž)
- rad na više lokacija/poslovnica; Zabok, Krapinske Toplice, Krapina, Hum na Sutli, Ivanec i Zlatar - kreiranje ponuda i prodaja dioptrijskih i sunčanih naočala - prodaja naočalnih i kontaktnih leća - provođenje uspostavljenih procedura i poštivanje procesa rada - uredno i ažurno vođenje dijela administracije koji se odnosi na klijente - izvještavanje o prodajnim rezultatima, te analiza prodaje s ciljem poboljšanja
Izvor: www.moj-posao.net
Lokacija: Zabok, Krapina, Ivanec, Zlatar, Hum na Sutli, Krapinske Toplice (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 26 dana (ističe 22.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Zabok
43,Prodavač (m/ž),"Prodavač (m/ž)
- savjetovanje i briga o kupcu tijekom prodajnog procesa - preuzimanje i slaganje robe - točno i uredno izvršavanje zadanih zadataka - uređenje i čišćenje prodajnog i skladišnog prostora - rad na blagajni - rad na puno i nepuno radno vrijeme
Izvor: www.moj-posao.net
Lokacija: Pula (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 9 dana (ističe 05.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Pula
44,Prodavač (m/ž),"Prodavač (m/ž)
Naša tvrtka članica Vindija trgovina d.o.o. trenutno je u potrazi za: Prodavačem (m/ž) s mjestom rada u Rovinju. Nakon edukacije u stručnom timu i stečene samostalnosti u radu ključni su: - kulturan i ljubazan odnos prema kupcima te pomoć u odabiru robe - izlaganje, prodaja i naplata robe, briga o cijenama i rokovima trajnosti robe - briga o estetskom izgledu prodavaonice i robi izloženoj na policama, te o higijeni i čistoći prodavaonice i njene okoline - točno i ažurno obavljanje svih zadanih poslova i radnih zadataka
Izvor: www.moj-posao.net
Lokacija: Rovinj (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 9 dana (ističe 05.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Rovinj
45,Prodavač (m/ž),"Prodavač (m/ž)
Prodaja kruha i peciva.
Izvor: www.moj-posao.net
Lokacija: Zadar (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 24.04.2024.
Trajanje oglasa: 13 dana (ističe 08.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Zadar
46,Prodavač (m/ž),"Prodavač (m/ž)
Tražimo 2 prodavačice za trgovinu dječje odjeće Blukids u Splitu.
Izvor: www.moj-posao.net
Lokacija: Split (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 24.04.2024.
Trajanje oglasa: 9 dana (ističe 04.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Split
